epoch,train_loss,val_loss,lr
1,1.10148,2.28684,0.0001
2,1.006355,2.449765,0.0001
3,0.977924,2.309711,0.0001
4,0.950774,2.40762,0.0001
5,0.939616,2.698315,0.0001
