epoch,train_loss,val_loss,lr
1,0.254764,0.333118,0.0001
2,0.252953,0.339564,0.0001
3,0.252347,0.319799,0.0001
4,0.250397,0.308823,0.0001
5,0.249277,0.314008,0.0001
6,0.246887,0.293092,0.0001
7,0.245044,0.297942,0.0001
8,0.241084,0.293725,0.0001
9,0.23565,0.288399,0.0001
10,0.228503,0.282268,0.0001
11,0.220236,0.289795,0.0001
12,0.213292,0.300309,0.0001
13,0.205769,0.312587,0.0001
14,0.195726,0.323046,0.0001
15,0.188107,0.332113,0.0001
