epoch,train_loss,val_loss,lr
1,0.277529,0.27994,0.0001
2,0.258771,0.288254,0.0001
3,0.254644,0.281152,0.0001
4,0.253232,0.274393,0.0001
5,0.251301,0.267378,0.0001
6,0.250496,0.269008,0.0001
7,0.249303,0.267759,0.0001
8,0.247741,0.273618,0.0001
9,0.247487,0.267886,0.0001
10,0.246494,0.2651,0.0001
11,0.246481,0.273499,0.0001
12,0.246419,0.269373,0.0001
13,0.244331,0.270337,0.0001
14,0.243652,0.269708,0.0001
15,0.243406,0.266939,0.0001
