epoch,train_loss,val_loss,lr
1,0.246067,0.258961,0.0001
2,0.213929,0.258552,0.0001
3,0.192383,0.26194,0.0001
4,0.175329,0.26589,0.0001
5,0.159579,0.275478,0.0001
6,0.143877,0.291574,0.0001
7,0.126905,0.318145,0.0001
8,0.109697,0.349444,5e-05
9,0.088742,0.396535,5e-05
10,0.079273,0.444355,5e-05
11,0.071705,0.481176,5e-05
12,0.065281,0.507267,5e-05
13,0.059894,0.547749,5e-05
14,0.055375,0.585889,2.5e-05
15,0.047721,0.634186,2.5e-05
