epoch,train_loss,val_loss,lr
1,0.255432,0.25497,0.0001
2,0.247574,0.288589,0.0001
3,0.235195,0.233481,0.0001
4,0.230547,0.222253,0.0001
5,0.226823,0.20548,0.0001
6,0.223326,0.224751,0.0001
7,0.220926,0.204935,0.0001
8,0.219207,0.201698,0.0001
9,0.218413,0.221103,0.0001
10,0.216358,0.222313,0.0001
11,0.214818,0.219243,0.0001
12,0.212964,0.210835,0.0001
13,0.212598,0.216966,0.0001
14,0.21159,0.212428,5e-05
15,0.207413,0.205713,5e-05
